timestamp,thumb,index,middle,ring,pinky
8577641,0,1,0,0,0
8582643,0,0,1,0,0
8587643,0,0,0,1,0
8592645,0,0,0,0,1
8597649,1,1,0,0,0
8602654,0,1,1,0,0
8607659,0,0,1,1,0
8612664,0,0,0,1,1
8617668,1,0,0,0,1
8622672,1,0,1,0,0
8627675,0,1,0,0,1
8632678,1,1,1,1,1
8637680,0,0,0,0,0
8642683,1,0,0,0,0
8647686,0,1,0,0,0
8652689,0,0,1,0,0
8657693,0,0,0,1,0
8662696,0,0,0,0,1
8667700,1,1,0,0,0
8672703,0,1,1,0,0
8677707,0,0,1,1,0
8682712,0,0,0,1,1
8687716,1,0,0,0,1
8692720,1,0,1,0,0
8697724,0,1,0,0,1
8702729,1,1,1,1,1
8707734,0,0,0,0,0
8712738,1,0,0,0,0
8717743,0,1,0,0,0
8722748,0,0,1,0,0
8727753,0,0,0,1,0
8732758,0,0,0,0,1
8737763,1,1,0,0,0
8742768,0,1,1,0,0
8747773,0,0,1,1,0
8752778,0,0,0,1,1
