timestamp,thumb,index,middle,ring,pinky
3256362,0,1,0,0,0
3261365,0,0,1,0,0
3266369,0,0,0,1,0
3271374,0,0,0,0,1
3276379,1,1,0,0,0
3281384,0,1,1,0,0
3286389,0,0,1,1,0
3291391,0,0,0,1,1
3296395,1,0,0,0,1
3301399,1,0,1,0,0
3306402,0,1,0,0,1
3311405,1,1,1,1,1
3316409,0,0,0,0,0
3321412,1,0,0,0,0
3326415,0,1,0,0,0
3331418,0,0,1,0,0
3336421,0,0,0,1,0
3341425,0,0,0,0,1
3346428,1,1,0,0,0
3351432,0,1,1,0,0
3356435,0,0,1,1,0
3361440,0,0,0,1,1
3366444,1,0,0,0,1
3371449,1,0,1,0,0
3376453,0,1,0,0,1
3381458,1,1,1,1,1
3386462,0,0,0,0,0
3391466,1,0,0,0,0
3396471,0,1,0,0,0
3401476,0,0,1,0,0
3406480,0,0,0,1,0
3411484,0,0,0,0,1
3416488,1,1,0,0,0
3421492,0,1,1,0,0
3426497,0,0,1,1,0
3431501,0,0,0,1,1
