timestamp,thumb,index,middle,ring,pinky
7157078,0,1,0,0,0
7162080,0,0,1,0,0
7167083,0,0,0,1,0
7172086,0,0,0,0,1
7177087,1,1,0,0,0
7182091,0,1,1,0,0
7187093,0,0,1,1,0
7192095,0,0,0,1,1
7197098,1,0,0,0,1
7202102,1,0,1,0,0
7207107,0,1,0,0,1
7212111,1,1,1,1,1
7217116,0,0,0,0,0
7222120,1,0,0,0,0
7227123,0,1,0,0,0
7232126,0,0,1,0,0
7237129,0,0,0,1,0
7242132,0,0,0,0,1
7247136,1,1,0,0,0
7252138,0,1,1,0,0
7257141,0,0,1,1,0
7262145,0,0,0,1,1
7267148,1,0,0,0,1
7272152,1,0,1,0,0
7277156,0,1,0,0,1
7282160,1,1,1,1,1
7287163,0,0,0,0,0
7292167,1,0,0,0,0
7297171,0,1,0,0,0
7302176,0,0,1,0,0
7307180,0,0,0,1,0
7312184,0,0,0,0,1
7317188,1,1,0,0,0
7322192,0,1,1,0,0
7327197,0,0,1,1,0
7332201,0,0,0,1,1
