timestamp,thumb,index,middle,ring,pinky
8157955,0,1,0,0,0
8162959,0,0,1,0,0
8167964,0,0,0,1,0
8172968,0,0,0,0,1
8177970,1,1,0,0,0
8182973,0,1,1,0,0
8187976,0,0,1,1,0
8192979,0,0,0,1,1
8197982,1,0,0,0,1
8202986,1,0,1,0,0
8207990,0,1,0,0,1
8212994,1,1,1,1,1
8217999,0,0,0,0,0
8223003,1,0,0,0,0
8228008,0,1,0,0,0
8233013,0,0,1,0,0
8238017,0,0,0,1,0
8243022,0,0,0,0,1
8248027,1,1,0,0,0
8253031,0,1,1,0,0
8258035,0,0,1,1,0
8263040,0,0,0,1,1
8268044,1,0,0,0,1
8273048,1,0,1,0,0
8278051,0,1,0,0,1
8283055,1,1,1,1,1
8288059,0,0,0,0,0
8293063,1,0,0,0,0
8298067,0,1,0,0,0
8303070,0,0,1,0,0
8308074,0,0,0,1,0
8313078,0,0,0,0,1
8318081,1,1,0,0,0
8323084,0,1,1,0,0
8328087,0,0,1,1,0
8333090,0,0,0,1,1
