timestamp,thumb,index,middle,ring,pinky
8853277,0,1,0,0,0
8858282,0,0,1,0,0
8863284,0,0,0,1,0
8868287,0,0,0,0,1
8873289,1,1,0,0,0
8878293,0,1,1,0,0
8883297,0,0,1,1,0
8888301,0,0,0,1,1
8893305,1,0,0,0,1
8898310,1,0,1,0,0
8903315,0,1,0,0,1
8908320,1,1,1,1,1
8913325,0,0,0,0,0
8918330,1,0,0,0,0
8923335,0,1,0,0,0
8928340,0,0,1,0,0
8933345,0,0,0,1,0
8938350,0,0,0,0,1
8943355,1,1,0,0,0
8948360,0,1,1,0,0
8953366,0,0,1,1,0
8958371,0,0,0,1,1
8963376,1,0,0,0,1
8968381,1,0,1,0,0
8973386,0,1,0,0,1
8978391,1,1,1,1,1
8983396,0,0,0,0,0
8988401,1,0,0,0,0
8993406,0,1,0,0,0
8998412,0,0,1,0,0
9003417,0,0,0,1,0
9008422,0,0,0,0,1
9013427,1,1,0,0,0
9018432,0,1,1,0,0
9023437,0,0,1,1,0
9028442,0,0,0,1,1
