timestamp,thumb,index,middle,ring,pinky
6753674,0,1,0,0,0
6758677,0,0,1,0,0
6763682,0,0,0,1,0
6768685,0,0,0,0,1
6773689,1,1,0,0,0
6778694,0,1,1,0,0
6783697,0,0,1,1,0
6788699,0,0,0,1,1
6793702,1,0,0,0,1
6798704,1,0,1,0,0
6803707,0,1,0,0,1
6808711,1,1,1,1,1
6813715,0,0,0,0,0
6818719,1,0,0,0,0
6823724,0,1,0,0,0
6828728,0,0,1,0,0
6833733,0,0,0,1,0
6838738,0,0,0,0,1
6843743,1,1,0,0,0
6848748,0,1,1,0,0
6853753,0,0,1,1,0
6858759,0,0,0,1,1
6863764,1,0,0,0,1
6868769,1,0,1,0,0
6873774,0,1,0,0,1
6878779,1,1,1,1,1
6883783,0,0,0,0,0
6888788,1,0,0,0,0
6893793,0,1,0,0,0
6898797,0,0,1,0,0
6903802,0,0,0,1,0
6908806,0,0,0,0,1
6913810,1,1,0,0,0
6918814,0,1,1,0,0
6923817,0,0,1,1,0
6928821,0,0,0,1,1
